Date,US_sm63,UK_sm63,JP_sm63,DE_sm63,IT_sm63
2023-02-03,3.6901190476190475,3.5898746031746027,0.4528571428571429,2.3606349206349204,4.26984126984127
2023-02-06,3.688849206349206,3.5845126984126985,0.4504603174603175,2.3598412698412696,4.264444444444445
2023-02-07,3.684563492063492,3.5803412698412695,0.44976190476190475,2.3577777777777778,4.2588888888888885
2023-02-08,3.677619047619048,3.573844444444444,0.44731746031746034,2.353809523809524,4.251746031746032
2023-02-09,3.67031746031746,3.5658507936507933,0.4438571428571429,2.347936507936508,4.241746031746032
2023-02-10,3.664761904761905,3.559079365079365,0.4413492063492063,2.3441269841269836,4.232857142857142
2023-02-13,3.6603174603174606,3.553409523809524,0.4392063492063492,2.3414285714285716,4.226507936507937
2023-02-14,3.655396825396825,3.548174603174603,0.4378253968253968,2.3376190476190475,4.217619047619047
2023-02-15,3.6512301587301583,3.5440269841269845,0.4365873015873016,2.3361904761904757,4.212380952380952
2023-02-16,3.646309523809524,3.540130158730159,0.4358095238095238,2.3344444444444443,4.205555555555556
2023-02-17,3.64218253968254,3.5365539682539686,0.43447619047619046,2.3341269841269843,4.2023809523809526
2023-02-20,3.636468253968254,3.5329555555555556,0.4344126984126984,2.3334920634920637,4.198888888888889
2023-02-21,3.6325,3.530812698412698,0.4337936507936508,2.3334920634920633,4.195396825396825
2023-02-22,3.6288492063492064,3.527331746031746,0.43322222222222223,2.332698412698413,4.192539682539683
2023-02-23,3.6253571428571427,3.523722222222222,0.4324920634920635,2.3311111111111114,4.189523809523809
2023-02-24,3.623293650793651,3.523650793650794,0.431952380952381,2.3329761904761903,4.18968253968254
2023-02-27,3.6232936507936504,3.5248904761904765,0.43106349206349204,2.336150793650794,4.192539682539683
2023-02-28,3.6220238095238093,3.526534920634921,0.4304920634920635,2.339166666666667,4.196031746031745
2023-03-01,3.6209126984126985,3.52811746031746,0.42979365079365084,2.34265873015873,4.199206349206349
2023-03-02,3.6207539682539682,3.5313412698412696,0.42912698412698413,2.3482142857142856,4.205396825396825
2023-03-03,3.624404761904762,3.5358603174603176,0.429952380952381,2.355833333333333,4.214444444444444
2023-03-06,3.627420634920635,3.5409666666666664,0.4310952380952381,2.3625000000000003,4.222698412698413
2023-03-07,3.6293253968253967,3.547631746031746,0.43269841269841275,2.3677380952380953,4.228571428571429
2023-03-08,3.6296428571428576,3.5531063492063493,0.43417460317460316,2.371547619047619,4.233174603174603
2023-03-09,3.631388888888889,3.559312698412698,0.43504761904761907,2.3766269841269843,4.24
2023-03-10,3.63234126984127,3.565371428571429,0.43563492063492065,2.38234126984127,4.244761904761905
2023-03-13,3.6309126984126983,3.5695873015873016,0.43580952380952387,2.384722222222222,4.246825396825397
