Date,IT_DE_spread_bp_sm63,ES_DE_spread_bp_sm63,FR_DE_spread_bp_sm63
2003-03-20,16.984126984126988,2.1341269841269814,6.58730158730159
2003-03-21,16.85714285714286,2.235714285714283,6.650793650793654
2003-03-24,16.74603174603175,2.1341269841269814,6.66666666666667
2003-03-25,16.650793650793656,2.130952380952378,6.66666666666667
2003-03-26,16.55555555555556,2.2087301587301558,6.714285714285718
2003-03-27,16.460317460317462,2.1325396825396803,6.761904761904765
2003-03-28,16.380952380952383,2.010317460317457,6.777777777777781
2003-03-31,16.28571428571429,2.0071428571428536,6.793650793650798
2003-04-01,16.190476190476193,2.0325396825396784,6.841269841269846
2003-04-02,16.079365079365083,2.0484126984126947,6.873015873015879
2003-04-03,15.984126984126988,2.099206349206346,6.857142857142864
2003-04-04,15.888888888888893,2.0976190476190446,6.8888888888888955
2003-04-07,15.809523809523814,2.164285714285711,6.920634920634926
2003-04-08,15.714285714285715,2.2325396825396786,6.90476190476191
2003-04-09,15.61904761904762,2.289682539682536,6.936507936507941
2003-04-10,15.539682539682541,2.3738095238095203,6.968253968253974
2003-04-11,15.444444444444446,2.4611111111111077,7.000000000000004
2003-04-14,15.365079365079367,2.438888888888886,7.015873015873021
2003-04-15,15.301587301587304,2.3563492063492033,7.031746031746037
2003-04-16,15.238095238095239,2.457936507936504,6.984126984126988
2003-04-17,15.174603174603176,2.454761904761901,6.968253968253972
2003-04-18,15.126984126984128,2.54365079365079,6.968253968253972
2003-04-21,15.07936507936508,2.7357142857142818,6.968253968253971
2003-04-22,15.015873015873018,2.726190476190472,6.968253968253971
2003-04-23,14.952380952380954,2.797619047619043,6.873015873015875
2003-04-24,14.88888888888889,2.7928571428571383,6.809523809523811
2003-04-25,14.809523809523812,2.8833333333333284,6.7619047619047645
2003-04-28,14.714285714285715,3.1325396825396776,6.6825396825396846
2003-04-29,14.634920634920636,3.210317460317457,6.619047619047621
2003-04-30,14.555555555555557,3.5738095238095204,6.6031746031746055
2003-05-01,14.476190476190478,3.6722222222222185,6.571428571428573
2003-05-02,14.380952380952383,3.765873015873013,6.50793650793651
2003-05-05,14.301587301587304,3.692857142857141,6.476190476190479
2003-05-06,14.222222222222223,3.745238095238093,6.3968253968254
2003-05-07,14.111111111111112,3.7833333333333314,6.444444444444447
2003-05-08,14.015873015873018,3.7420634920634903,6.3650793650793664
2003-05-09,14.031746031746033,3.8134920634920606,6.333333333333335
2003-05-12,14.031746031746033,3.956349206349203,6.3650793650793664
2003-05-13,14.04761904761905,3.999206349206346,6.333333333333335
2003-05-14,14.04761904761905,3.9119047619047587,6.285714285714288
2003-05-15,14.047619047619047,3.8309523809523767,6.190476190476192
2003-05-16,14.047619047619047,4.043650793650789,6.142857142857144
2003-05-19,14.063492063492063,4.1134920634920595,6.07936507936508
2003-05-20,14.047619047619051,4.2341269841269815,6.015873015873018
2003-05-21,14.047619047619047,4.315079365079362,5.952380952380954
2003-05-22,13.984126984126984,4.334126984126981,5.841269841269843
2003-05-23,13.968253968253972,4.335714285714283,5.682539682539685
2003-05-26,13.904761904761909,4.307142857142855,5.58730158730159
2003-05-27,13.841269841269845,4.210317460317459,5.460317460317463
2003-05-28,13.793650793650798,4.245238095238094,5.333333333333336
2003-05-29,13.761904761904766,4.194444444444443,5.222222222222226
2003-05-30,13.746031746031749,4.072222222222221,5.126984126984131
2003-06-02,13.777777777777782,3.907142857142856,5.01587301587302
2003-06-03,13.777777777777782,3.9865079365079357,4.904761904761909
2003-06-04,13.74603174603175,4.007142857142856,4.841269841269845
2003-06-05,13.74603174603175,4.059523809523809,4.714285714285718
2003-06-06,13.761904761904766,4.080158730158732,4.666666666666671
2003-06-09,13.761904761904765,3.9769841269841284,4.539682539682544
2003-06-10,13.714285714285715,4.0769841269841285,4.5079365079365115
2003-06-11,13.682539682539684,4.040476190476191,4.428571428571433
2003-06-12,13.650793650793654,4.057936507936509,4.301587301587306
2003-06-13,13.650793650793654,3.867460317460319,4.222222222222227
2003-06-16,13.634920634920636,3.696825396825399,4.095238095238099
2003-06-17,13.65079365079365,3.6888888888888896,4.0000000000000036
2003-06-18,13.650793650793652,3.534920634920635,3.920634920634925
2003-06-19,13.6984126984127,3.5984126984126967,3.8253968253968287
2003-06-20,13.730158730158731,3.623809523809523,3.7777777777777812
2003-06-23,13.746031746031749,3.5460317460317454,3.6825396825396854
2003-06-24,13.761904761904766,3.598412698412697,3.6031746031746064
2003-06-25,13.761904761904766,3.698412698412698,3.507936507936512
2003-06-26,13.730158730158733,3.7174603174603167,3.3968253968254003
2003-06-27,13.714285714285717,3.679365079365079,3.269841269841274
2003-06-30,13.714285714285717,3.628571428571428,3.1746031746031784
2003-07-01,13.730158730158731,3.4888888888888885,3.142857142857147
2003-07-02,13.761904761904765,3.385714285714284,3.0317460317460347
2003-07-03,13.837301587301589,3.3269841269841254,2.9206349206349236
2003-07-04,13.821428571428575,3.352380952380951,2.8571428571428603
2003-07-07,13.805555555555557,3.4031746031746017,2.7777777777777817
2003-07-08,13.805555555555559,3.2730158730158725,2.730158730158734
2003-07-09,13.821428571428575,3.1269841269841256,2.619047619047622
2003-07-10,13.853174603174606,3.246031746031745,2.523809523809527
2003-07-11,13.884920634920636,3.2333333333333307,2.428571428571432
2003-07-14,13.916666666666668,3.1825396825396806,2.349206349206353
2003-07-15,13.916666666666668,3.2015873015872995,2.2063492063492105
2003-07-16,13.932539682539682,3.2492063492063483,2.079365079365083
2003-07-17,13.964285714285714,3.0936507936507933,1.9682539682539728
2003-07-18,13.98015873015873,3.0682539682539676,1.8571428571428619
2003-07-21,14.011904761904763,2.9031746031746026,1.8095238095238138
2003-07-22,14.02777777777778,2.8507936507936513,1.6825396825396874
2003-07-23,14.059523809523808,2.8317460317460323,1.6349206349206404
2003-07-24,14.075396825396826,2.711111111111112,1.5873015873015937
2003-07-25,14.075396825396826,2.7158730158730164,1.492063492063499
2003-07-28,14.05952380952381,2.5952380952380962,1.41269841269842
2003-07-29,14.05952380952381,2.553968253968255,1.3174603174603254
2003-07-30,14.075396825396826,2.5031746031746045,1.285714285714295
2003-07-31,14.091269841269842,2.696825396825399,1.1746031746031833
2003-08-01,14.107142857142858,2.752380952380954,1.1269841269841354
2003-08-04,14.123015873015873,2.6460317460317477,0.9523809523809617
2003-08-05,14.13888888888889,2.780952380952383,0.9365079365079454
2003-08-06,14.027777777777779,2.6206349206349233,0.8412698412698508
2003-08-07,13.932539682539682,2.5126984126984153,0.7301587301587392
2003-08-08,13.853174603174605,2.4603174603174636,0.7619047619047711
2003-08-11,13.805555555555559,2.519047619047623,0.7460317460317548
2003-08-12,13.742063492063496,2.5698412698412745,0.8095238095238183
2003-08-13,13.710317460317464,2.4380952380952428,0.8412698412698508
